Order_ID,Customer_ID,Order_Date,Ship_Date,Shipper_ID,Sales
CA-2015-103058,AG-10270,2015-07-23,2015-07-24,101,99.98
CA-2015-103086,EB-14170,2015-10-17,2015-10-19,104,5.31
CA-2015-103100,AB-10105,2015-12-20,2015-12-23,101,3.69
CA-2015-103191,VG-21805,2015-09-22,2015-09-27,103,331.54
CA-2015-103219,BF-11215,2015-11-09,2015-11-13,103,56.52
CA-2015-103310,GM-14680,2015-05-10,2015-05-15,103,39.96
CA-2015-103317,DM-13525,2015-07-05,2015-07-08,101,9.81
CA-2015-103331,KB-16315,2015-08-26,2015-09-01,103,3.38
CA-2015-103366,EH-13990,2015-01-15,2015-01-17,101,149.95
CA-2015-103373,BS-11755,2015-05-18,2015-05-24,103,779.8
CA-2015-103401,GR-14560,2015-11-21,2015-11-26,103,12.96
CA-2015-103429,LW-16825,2015-05-30,2015-06-01,101,25.58
CA-2015-103492,CM-12715,2015-10-10,2015-10-15,103,0.9
CA-2015-103527,CC-12220,2015-09-09,2015-09-14,104,10.9
CA-2015-103590,JL-15505,2015-11-30,2015-12-04,103,62.28
CA-2015-103660,MW-18220,2015-08-25,2015-08-30,103,1007.94
CA-2015-103702,AF-10885,2015-09-12,2015-09-17,103,63.92
CA-2015-103744,MG-17875,2015-02-23,2015-02-27,103,4.43
CA-2015-103800,DP-13000,2015-01-03,2015-01-07,103,16.45
CA-2015-103807,EM-13825,2015-12-02,2015-12-09,103,5.95
CA-2015-103849,PG-18895,2015-05-11,2015-05-16,103,58.11
CA-2015-103940,BN-11515,2015-09-17,2015-09-21,103,30.28
CA-2015-103989,MC-17605,2015-03-19,2015-03-21,101,4.99
CA-2015-104178,JM-15265,2015-08-25,2015-08-29,103,6.28
CA-2015-104269,DB-13060,2015-03-01,2015-03-06,104,457.57
CA-2015-104283,LM-17065,2015-06-27,2015-07-01,103,85.98
CA-2015-104402,DB-13660,2015-06-17,2015-06-23,103,65.97
CA-2015-104472,CK-12325,2015-06-02,2015-06-07,103,59.81
CA-2015-104563,CM-12715,2015-03-07,2015-03-12,103,20.65
CA-2015-104738,SP-20620,2015-12-30,2016-01-01,104,2.29
CA-2015-104773,TB-21175,2015-12-08,2015-12-13,103,60.42
CA-2015-104780,BT-11530,2015-05-21,2015-05-25,103,31.84
CA-2015-104808,MH-17440,2015-02-04,2015-02-08,104,17.25
CA-2015-104829,JG-15805,2015-11-18,2015-11-21,104,21.98
CA-2015-104976,CK-12760,2015-12-09,2015-12-16,103,34.68
CA-2015-105165,SZ-20035,2015-09-07,2015-09-10,101,2.92
CA-2015-105172,PK-18910,2015-04-04,2015-04-09,103,18.9
CA-2015-105249,DH-13675,2015-11-28,2015-11-28,102,7.36
CA-2015-105270,AP-10915,2015-11-11,2015-11-18,103,30.48
CA-2015-105340,EH-14185,2015-11-22,2015-11-25,101,6.93
CA-2015-105417,VS-21820,2015-01-07,2015-01-12,103,10.43
CA-2015-105648,EJ-14155,2015-03-03,2015-03-07,103,626.35
CA-2015-105872,JG-15160,2015-05-30,2015-06-06,103,70.37
CA-2015-105893,PK-19075,2015-11-11,2015-11-18,103,665.88
CA-2015-105984,MY-18295,2015-11-24,2015-11-24,102,611.06
CA-2015-106054,JO-15145,2015-01-06,2015-01-07,101,12.78
CA-2015-106229,NR-18550,2015-06-07,2015-06-11,104,268.93
CA-2015-106264,CK-12595,2015-12-26,2015-12-30,103,3.48
CA-2015-106376,BS-11590,2015-12-05,2015-12-10,103,167.97
CA-2015-106439,GG-14650,2015-10-31,2015-11-04,103,11.34
CA-2015-106572,NP-18700,2015-09-05,2015-09-10,103,264.32
CA-2015-106719,RB-19645,2015-08-24,2015-08-24,102,8.29
CA-2015-106726,RS-19765,2015-12-06,2015-12-08,101,1261.33
CA-2015-106803,DC-13285,2015-12-29,2016-01-02,103,24.56
CA-2015-106810,AJ-10795,2015-05-14,2015-05-20,103,310.88
CA-2015-106971,BM-11785,2015-09-02,2015-09-08,103,475.94
CA-2015-107139,DP-13390,2015-07-05,2015-07-11,103,180.96
CA-2015-107153,GZ-14545,2015-09-28,2015-10-03,103,46.26
CA-2015-107181,DB-13270,2015-02-04,2015-02-08,103,34.24
CA-2015-107398,BS-11590,2015-08-25,2015-08-30,103,2.86
CA-2015-107454,RD-19720,2015-11-02,2015-11-06,103,34.86
CA-2015-107524,KN-16705,2015-03-02,2015-03-08,103,11.36
CA-2015-107573,PB-19150,2015-12-12,2015-12-17,103,23.47
CA-2015-107594,EH-13945,2015-07-02,2015-07-06,103,5.58
CA-2015-107706,ST-20530,2015-02-14,2015-02-19,104,16.18
CA-2015-107755,CK-12760,2015-02-07,2015-02-12,103,115.36
CA-2015-107769,BT-11395,2015-10-28,2015-11-01,103,257.98
CA-2015-107811,LA-16780,2015-04-29,2015-05-03,103,99.92
CA-2015-107818,MC-17275,2015-09-08,2015-09-14,103,5.88
CA-2015-107916,JP-15460,2015-08-24,2015-08-26,101,12.67
CA-2015-108147,RD-19480,2015-06-08,2015-06-13,103,68.48
CA-2015-108182,DL-13315,2015-02-06,2015-02-10,104,8.95
CA-2015-108189,ES-14080,2015-10-02,2015-10-05,101,4.67
CA-2015-108273,EJ-13720,2015-12-16,2015-12-21,103,36.29
CA-2015-108609,AJ-10780,2015-10-31,2015-11-02,104,1421.66
CA-2015-108707,DB-12910,2015-10-24,2015-10-29,103,10.37
CA-2015-108861,MM-17260,2015-05-28,2015-06-01,103,136.96
CA-2015-108903,DO-13435,2015-10-03,2015-10-03,102,14.48
CA-2015-109043,CS-12355,2015-08-15,2015-08-17,101,91.36
CA-2015-109127,JC-15775,2015-12-21,2015-12-25,103,17.28
CA-2015-109134,DE-13255,2015-11-05,2015-11-10,103,20.04
CA-2015-109218,AR-10825,2015-06-30,2015-07-03,104,32.4
CA-2015-109232,ND-18370,2015-01-13,2015-01-16,104,545.94
CA-2015-109302,CS-12175,2015-08-12,2015-08-16,103,196.21
CA-2015-109491,LC-16930,2015-02-20,2015-02-26,103,20.32
CA-2015-109680,VP-21760,2015-10-06,2015-10-09,101,386.34
CA-2015-109855,LH-16900,2015-09-01,2015-09-05,103,23.74
CA-2015-109890,PG-18820,2015-07-21,2015-07-27,103,35.98
CA-2015-109897,BW-11200,2015-08-12,2015-08-16,103,85.44
CA-2015-109904,BF-10975,2015-07-14,2015-07-17,104,17.94
CA-2015-109918,LR-17035,2015-09-07,2015-09-12,104,20.56
CA-2015-109932,VP-21760,2015-12-09,2015-12-11,101,10.69
CA-2015-110030,LF-17185,2015-12-06,2015-12-08,104,23.98
CA-2015-110065,SP-20650,2015-08-05,2015-08-11,103,15.96
CA-2015-110072,MG-17680,2015-10-22,2015-10-28,103,93.89
CA-2015-110100,LC-16885,2015-04-25,2015-04-29,103,302.38
CA-2015-110184,BF-11170,2015-07-12,2015-07-16,103,249.75
CA-2015-110219,EB-13870,2015-05-05,2015-05-08,101,127.87
CA-2015-110352,ED-13885,2015-11-23,2015-11-29,103,23.68
CA-2015-110408,AS-10225,2015-10-18,2015-10-20,104,275.97
CA-2015-110527,ED-13885,2015-08-09,2015-08-16,103,20.88
CA-2015-110555,MM-18055,2015-04-11,2015-04-18,103,87.08
CA-2015-110611,JD-16015,2015-10-06,2015-10-13,103,83.92
CA-2015-110639,RH-19495,2015-08-23,2015-08-23,102,25.92
CA-2015-110786,AJ-10795,2015-12-29,2016-01-02,103,14.35
CA-2015-110849,JL-15835,2015-04-18,2015-04-23,103,10.75
CA-2015-111003,CR-12625,2015-06-01,2015-06-06,103,45.48
CA-2015-111059,TB-21400,2015-02-03,2015-02-06,104,13.27
CA-2015-111150,RW-19630,2015-12-31,2016-01-04,103,29.68
CA-2015-111192,TS-21430,2015-07-30,2015-08-05,103,1367.84
CA-2015-111451,KL-16555,2015-12-26,2015-12-28,101,27.55
CA-2015-111500,DJ-13510,2015-08-17,2015-08-21,103,12.67
CA-2015-111773,JK-15625,2015-06-29,2015-07-03,103,13.92
CA-2015-111857,NM-18445,2015-04-23,2015-04-26,104,48.91
CA-2015-111871,EK-13795,2015-03-18,2015-03-21,104,1198.33
CA-2015-111899,NC-18340,2015-05-04,2015-05-05,101,5.47
CA-2015-111934,GD-14590,2015-05-05,2015-05-07,101,11.88
CA-2015-111962,EB-14170,2015-09-29,2015-10-04,103,10.05
CA-2015-112158,DP-13165,2015-12-02,2015-12-04,101,46.72
CA-2015-112326,PO-19195,2015-01-04,2015-01-08,103,3.54
CA-2015-112403,JO-15280,2015-03-31,2015-03-31,102,0.85
CA-2015-112718,KN-16450,2015-12-16,2015-12-21,103,1.17
CA-2015-112837,LW-17125,2015-09-11,2015-09-16,103,127.95
CA-2015-112851,NR-18550,2015-09-17,2015-09-21,103,182.94
CA-2015-113047,AP-10915,2015-10-24,2015-10-24,102,11.85
CA-2015-113166,LF-17185,2015-12-24,2015-12-26,101,9.57
CA-2015-113271,DS-13030,2015-07-09,2015-07-14,103,5.56
CA-2015-113320,LH-17155,2015-12-12,2015-12-15,104,8.94
CA-2015-113362,AJ-10960,2015-09-14,2015-09-19,103,11.07
CA-2015-113383,SF-20065,2015-09-10,2015-09-13,101,81.92
CA-2015-113579,KD-16345,2015-12-13,2015-12-15,104,90.24
CA-2015-113768,AH-10030,2015-05-13,2015-05-19,103,8
CA-2015-113859,BC-11125,2015-09-13,2015-09-17,103,340.12
CA-2015-113880,VF-21715,2015-03-01,2015-03-05,103,17.47
CA-2015-113887,TH-21550,2015-04-05,2015-04-07,101,55.48
CA-2015-113929,CK-12205,2015-06-16,2015-06-21,103,35
CA-2015-113964,JP-16135,2015-09-23,2015-09-30,103,18.46
CA-2015-114125,GH-14410,2015-07-09,2015-07-13,103,2.88
CA-2015-114181,AF-10885,2015-05-10,2015-05-14,104,22.32
CA-2015-114251,MD-17350,2015-11-05,2015-11-10,103,13.19
CA-2015-114314,DB-13555,2015-10-11,2015-10-15,103,7.31
CA-2015-114321,NC-18535,2015-08-20,2015-08-25,103,20.12
CA-2015-114335,XP-21865,2015-09-28,2015-10-03,103,337.09
CA-2015-114433,NP-18325,2015-05-13,2015-05-17,103,149.97
CA-2015-114510,JF-15295,2015-03-14,2015-03-19,103,21.36
CA-2015-114517,TH-21235,2015-12-23,2015-12-27,103,53.32
CA-2015-114643,FM-14215,2015-06-13,2015-06-17,103,14.52
CA-2015-114790,FM-14215,2015-03-11,2015-03-13,104,14.94
CA-2015-115056,AR-10510,2015-05-02,2015-05-02,102,26.14
CA-2015-115084,LS-17200,2015-10-18,2015-10-22,103,605.34
CA-2015-115133,DA-13450,2015-09-26,2015-09-30,103,3.15
CA-2015-115161,LC-17050,2015-01-31,2015-02-02,101,290.67
CA-2015-115259,RC-19960,2015-08-25,2015-08-27,104,4.72
CA-2015-115336,AB-10600,2015-11-18,2015-11-25,103,14.48
CA-2015-115357,RF-19735,2015-08-06,2015-08-11,104,62.91
CA-2015-115791,DL-13315,2015-01-16,2015-01-18,104,18.59
CA-2015-115812,BH-11710,2015-06-09,2015-06-14,103,7.28
CA-2015-115889,SH-20395,2015-11-02,2015-11-06,103,46.38
CA-2015-115973,NG-18430,2015-11-24,2015-11-26,101,2.62
CA-2015-115980,VW-21775,2015-07-15,2015-07-19,103,2.97
CA-2015-116190,SG-20470,2015-07-26,2015-08-01,103,25.71
CA-2015-116239,CL-12565,2015-03-04,2015-03-04,102,354.9
CA-2015-116246,LW-17215,2015-09-12,2015-09-17,104,3785.29
CA-2015-116407,JF-15190,2015-11-15,2015-11-21,103,4.22
CA-2015-116568,BM-11785,2015-12-14,2015-12-20,103,186.3
CA-2015-116666,KT-16480,2015-05-08,2015-05-10,101,1799.97
CA-2015-116673,JO-15280,2015-12-15,2015-12-19,104,6.16
CA-2015-116757,MS-17980,2015-06-30,2015-07-04,103,21.31
CA-2015-116785,MH-17290,2015-04-26,2015-04-30,103,12.6
CA-2015-116834,Dp-13240,2015-10-11,2015-10-16,103,63.47
CA-2015-116904,SC-20095,2015-09-23,2015-09-28,103,12.94
CA-2015-116932,ME-18010,2015-07-21,2015-07-25,103,99.2
CA-2015-117016,SC-20095,2015-03-04,2015-03-09,103,15.55
CA-2015-117317,JF-15490,2015-10-19,2015-10-19,102,13.44
CA-2015-117345,BF-10975,2015-08-01,2015-08-05,103,17.54
CA-2015-117429,MR-17545,2015-10-07,2015-10-13,103,129.92
CA-2015-117464,NP-18325,2015-07-22,2015-07-24,104,11.52
CA-2015-117478,LH-16750,2015-09-21,2015-09-24,101,6.57
CA-2015-117639,MW-18235,2015-05-21,2015-05-25,103,617.97
CA-2015-117709,PM-18940,2015-05-04,2015-05-08,103,46.8
CA-2015-117765,RB-19465,2015-09-07,2015-09-13,103,19.86
CA-2015-118192,MM-17920,2015-01-13,2015-01-18,103,3.44
CA-2015-118276,MG-17890,2015-12-29,2016-01-02,103,8.74
CA-2015-118304,KH-16360,2015-04-29,2015-05-04,103,19.98
CA-2015-118339,BN-11515,2015-03-17,2015-03-24,103,19.68
CA-2015-118962,CS-12130,2015-08-05,2015-08-09,103,20.94
CA-2015-118976,MY-18295,2015-04-28,2015-05-03,103,3.15
CA-2015-119032,MS-17770,2015-11-27,2015-12-03,103,3.76
CA-2015-119144,JD-16150,2015-11-16,2015-11-18,101,79.97
CA-2015-119151,MP-18175,2015-11-25,2015-11-29,104,275.95
CA-2015-119172,HD-14785,2015-05-11,2015-05-15,103,17.47
CA-2015-119375,YC-21895,2015-11-17,2015-11-22,103,57.75
CA-2015-119466,SP-20860,2015-12-15,2015-12-21,103,8.54
CA-2015-119529,DM-13345,2015-11-03,2015-11-05,104,5.76
CA-2015-119977,DN-13690,2015-10-08,2015-10-13,104,123.92
CA-2015-120096,KE-16420,2015-07-04,2015-07-07,101,32.43
CA-2015-120243,AT-10435,2015-12-27,2015-12-30,104,11.56
CA-2015-120278,MS-17365,2015-11-07,2015-11-12,103,12.39
CA-2015-120411,SB-20185,2015-09-20,2015-09-23,101,11.12
CA-2015-120432,DW-13585,2015-08-24,2015-08-26,104,25.5
CA-2015-120474,RP-19390,2015-12-01,2015-12-03,101,46.64
CA-2015-120544,SS-20140,2015-11-23,2015-11-27,103,5.54
CA-2015-120670,JK-16120,2015-11-02,2015-11-06,103,799.92
CA-2015-120768,IM-15070,2015-12-19,2015-12-21,104,7.27
CA-2015-120775,RD-19930,2015-10-03,2015-10-07,103,1.79
CA-2015-120838,PO-18865,2015-03-23,2015-03-26,104,330.4
CA-2015-120852,WB-21850,2015-12-20,2015-12-25,103,19.43
CA-2015-120887,TS-21205,2015-09-27,2015-10-03,103,87.54
CA-2015-121006,SC-20020,2015-11-10,2015-11-16,103,3.9
CA-2015-121167,MO-17500,2015-11-28,2015-11-30,104,17.25
CA-2015-121286,ON-18715,2015-11-04,2015-11-08,104,8.38
CA-2015-121573,SG-20605,2015-11-03,2015-11-07,103,7.86
CA-2015-121629,BT-11680,2015-11-28,2015-12-02,103,998.85
CA-2015-121664,HP-14815,2015-05-06,2015-05-10,103,140.74
CA-2015-121727,JK-15625,2015-08-19,2015-08-24,103,10.72
CA-2015-121762,ML-17395,2015-02-14,2015-02-18,103,81.96
CA-2015-121769,JS-15880,2015-04-08,2015-04-12,103,172.11
CA-2015-122070,AH-10030,2015-04-22,2015-04-24,104,9.91
CA-2015-122217,HP-14815,2015-11-24,2015-11-29,103,111.15
CA-2015-122336,JD-15895,2015-04-13,2015-04-17,104,17.86
CA-2015-122567,MN-17935,2015-02-16,2015-02-21,103,1.08
CA-2015-122588,AR-10540,2015-11-25,2015-11-27,104,52.96
CA-2015-122679,AB-10255,2015-07-22,2015-07-28,103,19.68
CA-2015-122749,NG-18430,2015-12-03,2015-12-09,103,479.96
CA-2015-122882,SB-20290,2015-09-07,2015-09-13,103,32.38
CA-2015-122931,SM-20950,2015-09-29,2015-10-03,103,4.22
CA-2015-123064,RA-19915,2015-06-30,2015-07-02,101,5.25
CA-2015-123127,SP-20620,2015-09-08,2015-09-12,103,16.78
CA-2015-123225,MN-17935,2015-07-11,2015-07-14,101,10.37
CA-2015-123253,DE-13255,2015-08-22,2015-08-25,104,3.91
CA-2015-123260,FM-14290,2015-08-26,2015-08-30,103,176.8
CA-2015-123295,AH-10120,2015-07-18,2015-07-18,102,259.14
CA-2015-123316,SP-20545,2015-10-13,2015-10-17,103,7.75
CA-2015-123323,LH-16900,2015-11-07,2015-11-12,103,123.14
CA-2015-123344,JD-16060,2015-09-24,2015-09-29,103,211.96
CA-2015-123400,EB-13930,2015-02-02,2015-02-09,103,18.34
CA-2015-123477,DW-13195,2015-01-18,2015-01-21,104,64.86
CA-2015-123498,TC-20980,2015-11-07,2015-11-09,101,26.05
CA-2015-123855,MC-18100,2015-06-18,2015-06-23,103,139.8
CA-2015-123925,RF-19840,2015-12-17,2015-12-19,104,40.05
CA-2015-124023,PJ-19015,2015-04-07,2015-04-10,101,8.96
CA-2015-124079,RF-19345,2015-12-13,2015-12-17,103,5.21
CA-2015-124247,SH-20635,2015-12-16,2015-12-21,103,1403.92
CA-2015-124394,TB-21520,2015-10-17,2015-10-22,104,10.78
CA-2015-124429,MH-17785,2015-05-27,2015-05-27,102,359.32
CA-2015-124464,SS-20515,2015-07-14,2015-07-20,103,39.48
CA-2015-124478,MA-17560,2015-08-08,2015-08-12,103,38.34
CA-2015-124513,SL-20155,2015-09-21,2015-09-25,103,66.03
CA-2015-124618,CS-11860,2015-05-02,2015-05-04,104,479.98
CA-2015-124646,DV-13465,2015-06-22,2015-06-24,101,161.94
CA-2015-124688,CC-12610,2015-08-27,2015-08-29,101,29.12
CA-2015-124702,MH-17785,2015-11-18,2015-11-25,103,137.54
CA-2015-124709,GW-14605,2015-07-27,2015-07-29,104,238
CA-2015-124723,GZ-14470,2015-08-05,2015-08-12,103,489.23
CA-2015-124730,LS-17245,2015-11-26,2015-11-26,102,11.52
CA-2015-124737,AP-10915,2015-08-23,2015-08-27,103,4.22
CA-2015-124807,ME-17725,2015-07-12,2015-07-15,104,23.84
CA-2015-124856,LD-17005,2015-09-29,2015-10-03,104,18.9
CA-2015-125136,KD-16495,2015-09-28,2015-10-03,103,10.69
CA-2015-125150,PW-19030,2015-05-16,2015-05-23,103,232.88
CA-2015-125171,AG-10390,2015-09-03,2015-09-03,102,14.4
CA-2015-125514,BM-11650,2015-09-21,2015-09-22,101,6.48
CA-2015-125542,NB-18655,2015-12-05,2015-12-07,101,172.74
CA-2015-125556,ML-17410,2015-11-14,2015-11-16,104,43.8
CA-2015-125612,BK-11260,2015-08-03,2015-08-08,103,21.36
CA-2015-125682,RB-19645,2015-11-22,2015-11-25,101,9.96
CA-2015-125731,CL-12565,2015-09-10,2015-09-16,103,21.73
CA-2015-125759,NM-18445,2015-02-08,2015-02-09,101,14.56
CA-2015-125829,WB-21850,2015-11-04,2015-11-11,103,19.44
CA-2015-125997,MW-18220,2015-09-20,2015-09-23,101,30.98
CA-2015-126032,BS-11665,2015-06-23,2015-06-28,103,86.38
CA-2015-126193,SS-20410,2015-09-07,2015-09-14,103,3.83
CA-2015-126200,JE-15715,2015-08-25,2015-08-29,103,12.38
CA-2015-126277,LH-16900,2015-09-13,2015-09-18,104,2.5
CA-2015-126333,ME-18010,2015-12-23,2015-12-28,103,5.18
CA-2015-126361,VD-21670,2015-08-04,2015-08-09,104,13.18
CA-2015-126403,RR-19525,2015-09-09,2015-09-12,104,26.2
CA-2015-126480,HG-14965,2015-09-20,2015-09-24,103,8.56
CA-2015-126522,LT-16765,2015-09-01,2015-09-05,104,53.94
CA-2015-126683,PP-18955,2015-09-29,2015-10-01,104,6.16
CA-2015-126760,KM-16720,2015-07-26,2015-08-02,103,134.01
CA-2015-126802,ZC-21910,2015-12-29,2016-01-05,103,38.98
CA-2015-126907,SM-20950,2015-11-01,2015-11-08,103,15.7
CA-2015-126963,PS-18760,2015-06-15,2015-06-15,102,36.54
CA-2015-127012,GM-14680,2015-08-11,2015-08-15,103,12.35
CA-2015-127131,HR-14830,2015-11-24,2015-11-30,103,12.1
CA-2015-127159,HL-15040,2015-05-12,2015-05-15,101,34.79
CA-2015-127166,KH-16360,2015-05-21,2015-05-23,104,4.83
CA-2015-127187,CP-12085,2015-12-04,2015-12-08,103,129.98
CA-2015-127299,JL-15835,2015-09-19,2015-09-24,103,67.34
CA-2015-127383,CM-11815,2015-12-31,2016-01-05,103,49.57
CA-2015-127446,MC-17590,2015-11-25,2015-11-30,103,2.52
CA-2015-127488,MS-17365,2015-09-22,2015-09-24,104,4.61
CA-2015-127523,BG-11695,2015-05-11,2015-05-18,103,35.91
CA-2015-127558,SS-20410,2015-11-15,2015-11-18,101,10.11
CA-2015-127586,CS-12400,2015-09-26,2015-09-30,103,310.12
CA-2015-127614,NF-18385,2015-02-11,2015-02-15,103,17.46
CA-2015-127691,EM-14065,2015-07-22,2015-07-27,103,5.96
CA-2015-127859,QJ-19255,2015-03-17,2015-03-20,104,126.62
CA-2015-127866,JD-15895,2015-07-20,2015-07-23,101,11.96
CA-2015-127936,CL-12565,2015-09-02,2015-09-04,101,21.24
CA-2015-127964,AP-10720,2015-03-03,2015-03-08,103,9.99
CA-2015-128055,AA-10315,2015-03-31,2015-04-05,103,52.98
CA-2015-128062,AD-10180,2015-11-19,2015-11-22,104,5.88
CA-2015-128146,DB-13060,2015-06-21,2015-06-25,103,3.76
CA-2015-128209,GT-14710,2015-11-17,2015-11-22,103,2152.78
CA-2015-128237,CA-12265,2015-03-25,2015-03-30,103,6.56
CA-2015-128524,MZ-17515,2015-11-11,2015-11-13,101,22.98
CA-2015-128538,AS-10240,2015-10-11,2015-10-15,103,7.64
CA-2015-128622,SC-20260,2015-11-15,2015-11-17,104,10.95
CA-2015-128839,TT-21070,2015-09-08,2015-09-13,103,45
CA-2015-128846,RS-19765,2015-04-07,2015-04-12,103,122.97
CA-2015-128888,PB-19105,2015-11-15,2015-11-22,103,604.66
CA-2015-128986,GH-14410,2015-08-03,2015-08-05,104,93.02
CA-2015-129091,RA-19885,2015-11-22,2015-11-27,103,11.36
CA-2015-129147,LC-17050,2015-11-02,2015-11-06,103,19.24
CA-2015-129168,KB-16585,2015-08-17,2015-08-23,103,15.55
CA-2015-129189,HM-14860,2015-07-21,2015-07-25,103,1.04
CA-2015-129364,TB-21250,2015-12-08,2015-12-13,103,6.46
CA-2015-129574,Dp-13240,2015-05-26,2015-05-29,101,48.4
CA-2015-129819,KC-16675,2015-12-13,2015-12-15,104,12.39
CA-2015-129924,AC-10420,2015-07-12,2015-07-17,103,7.71
CA-2015-129938,EB-13705,2015-12-15,2015-12-17,104,445.8
CA-2015-130092,SV-20365,2015-01-11,2015-01-14,101,9.94
CA-2015-130155,TD-20995,2015-05-19,2015-05-22,101,34.2
CA-2015-130274,JS-15940,2015-05-03,2015-05-05,101,21.56
CA-2015-130421,SC-20020,2015-03-03,2015-03-07,103,176.77
CA-2015-130428,TG-21640,2015-03-31,2015-03-31,102,4.03
CA-2015-130449,VP-21760,2015-09-06,2015-09-09,101,41.88
CA-2015-130575,CS-11845,2015-12-14,2015-12-16,101,9.26
CA-2015-130624,TB-21280,2015-06-21,2015-06-24,101,19.65
CA-2015-130673,MC-17590,2015-05-20,2015-05-22,104,10.33
CA-2015-130729,AA-10375,2015-10-24,2015-10-29,103,34.27
CA-2015-130813,LS-17230,2015-01-06,2015-01-08,104,19.44
CA-2015-130869,CB-12025,2015-11-17,2015-11-21,103,7.08
CA-2015-130918,JP-15520,2015-08-22,2015-08-24,104,7.63
CA-2015-130960,KB-16600,2015-12-30,2016-01-04,103,9.84
CA-2015-131002,TB-21400,2015-09-07,2015-09-12,104,12.96
CA-2015-131009,SC-20380,2015-03-01,2015-03-05,103,18.84
CA-2015-131051,TR-21325,2015-12-01,2015-12-05,103,58.2
CA-2015-131247,GA-14725,2015-03-30,2015-04-04,103,205.67
CA-2015-131310,CL-12565,2015-07-12,2015-07-18,103,11.26
CA-2015-131387,AI-10855,2015-04-28,2015-04-30,101,1679.96
CA-2015-131450,LR-16915,2015-08-08,2015-08-15,103,76.12
CA-2015-131527,TB-21280,2015-12-01,2015-12-07,103,95.97
CA-2015-131541,CK-12205,2015-07-28,2015-07-28,102,14.32
CA-2015-131800,AJ-10960,2015-12-30,2016-01-04,103,35.45
CA-2015-131905,ND-18460,2015-02-06,2015-02-09,101,15
CA-2015-131926,DW-13480,2015-06-01,2015-06-06,104,25.92
CA-2015-131947,JA-15970,2015-09-17,2015-09-22,103,5.25
CA-2015-132010,MA-17995,2015-10-13,2015-10-15,101,15.18
CA-2015-132227,SZ-20035,2015-11-04,2015-11-10,103,52.06
CA-2015-132451,KF-16285,2015-09-26,2015-09-27,101,19.44
CA-2015-132500,GZ-14470,2015-09-08,2015-09-12,103,49.98
CA-2015-132542,AM-10360,2015-10-06,2015-10-08,104,15.36
CA-2015-132612,FO-14305,2015-06-09,2015-06-11,104,1441.3
CA-2015-132787,MC-18130,2015-09-19,2015-09-23,103,92.52
CA-2015-132801,JG-15805,2015-10-07,2015-10-12,103,107.44
CA-2015-132864,KN-16390,2015-12-02,2015-12-07,103,119.8
